Názov;Názov liečiva;;;
CLEXANE FORTE 15000 IU (150 mg)/1 ml;Enoxaparín;;;
CLOBEX;Klobetazol;;;
Clopidogrel Actavis 75 mg;Klopidogrel;;;
Clopidogrel Actavis 75 mg;Klopidogrel;;;
Clopigamma 75 mg;Klopidogrel;;;
Clozapine Accord 100 mg tablety;Klozapín;;;
Clozapine Accord 25 mg tablety;Klozapín;;;
Co-Amlessa 2 mg/5 mg/0,625 mg tablety;Perindopril,amlodipín a indapamid;;;
Co-Amlessa 4 mg/10 mg/1,25 mg tablety;Perindopril,amlodipín a indapamid;;;
Co-Amlessa 4 mg/5 mg/1,25 mg tablety;Perindopril,amlodipín a indapamid;;;
Co-Amlessa 4 mg/5 mg/1,25 mg tablety;Perindopril,amlodipín a indapamid;;;
Co-Amlessa 8 mg/10 mg/2,5 mg tablety;Perindopril,amlodipín a indapamid;;;
Co-Amlessa 8 mg/10 mg/2,5 mg tablety;Perindopril,amlodipín a indapamid;;;
Co-Amlessa 8 mg/5 mg/2,5 mg tablety;Perindopril,amlodipín a indapamid;;;
Co-Amlessa 8 mg/5 mg/2,5 mg tablety;Perindopril,amlodipín a indapamid;;;
Co-Amlessa Neo 10 mg/2,5 mg/10 mg tablety;Perindopril,amlodipín a indapamid;;;
Co-Amlessa Neo 10 mg/2,5 mg/10 mg tablety;Perindopril,amlodipín a indapamid;;;
Co-Amlessa Neo 10 mg/2,5 mg/5 mg tablety;Perindopril,amlodipín a indapamid;;;
Co-Amlessa Neo 10 mg/2,5 mg/5 mg tablety;Perindopril,amlodipín a indapamid;;;
Co-Amlessa Neo 5 mg/1,25 mg/5 mg tablety;Perindopril,amlodipín a indapamid;;;
Co-Amlessa Neo 5 mg/1,25 mg/5 mg tablety;Perindopril,amlodipín a indapamid;;;
Co-Prenessa 2 mg /0,625 mg;Perindopril a diuretiká;;;
Co-Prenessa 4 mg /1,25 mg;Perindopril a diuretiká;;;
Co-Prenessa 4 mg /1,25 mg;Perindopril a diuretiká;;;
Co-Prenessa 8 mg/2,5 mg;Perindopril a diuretiká;;;
Co-Prenessa 8 mg/2,5 mg;Perindopril a diuretiká;;;
Co-Prenessa Neo 10 mg/2,5 mg tablety;Perindopril a diuretiká;;;
Co-Prenessa Neo 10 mg/2,5 mg tablety;Perindopril a diuretiká;;;
Co-Prenessa Neo 5 mg/1,25 mg tablety;Perindopril a diuretiká;;;
Co-Prenessa Neo 5 mg/1,25 mg tablety;Perindopril a diuretiká;;;
Co-Valsacor 160 mg/12,5 mg filmom obalené tablety;Valsartan a diuretiká;;;
Co-Valsacor 160 mg/12,5 mg filmom obalené tablety;Valsartan a diuretiká;;;
Co-Valsacor 160 mg/25 mg filmom obalené tablety;Valsartan a diuretiká;;;
Co-Valsacor 320 mg/12,5 mg filmom obalené tablety;Valsartan a diuretiká;;;
Co-Valsacor 320 mg/12,5 mg filmom obalené tablety;Valsartan a diuretiká;;;
Co-Valsacor 320 mg/25 mg filmom obalené tablety;Valsartan a diuretiká;;;
Co-Valsacor 80 mg/12,5 mg filmom obalené tablety;Valsartan a diuretiká;;;
COAXIL;Tianeptín;;;
COAXIL;Tianeptín;;;
Codein-SLOVAKOFARMA 15 mg;Kodeín;;;
Codein-SLOVAKOFARMA 30 mg;Kodeín;;;
Colchicum-Dispert;Kolchicín;;;
Colchicum-Dispert;Kolchicín;;;
Colobreathe 1 662 500 IU inhalačný prášok v tvrdej kapsule;Kolistín;;;
Coloxet 500 mg;Kapecitabín;;;
COMBIGAN;Timolol, kombinácie;;;
COMETRIQ 20 mg tvrdé kapsuly, COMETRIQ 80 mg tvrdé kapsuly;Kabozantinib;;;
Comtan 200 mg filmom obalené tablety;Entakapón;;;
Conaret 10 mg tablety;Bisoprolol;;;
Conaret 2,5 mg tablety;Bisoprolol;;;
Conaret 5 mg tablety;Bisoprolol;;;
Conaret 5 mg tablety;Bisoprolol;;;
Conaret 7,5 mg tablety;Bisoprolol;;;
Concerta 36 mg tablety s predĺženým uvoľňovaním;Metylfenidát;;;
Concerta 54 mg tablety s predĺženým uvoľňovaním;Metylfenidát;;;
Concor 10 mg;Bisoprolol;;;
Concor 10 mg;Bisoprolol;;;
Concor 5 mg;Bisoprolol;;;
Concor 5 mg;Bisoprolol;;;
Concor Combi 10 mg/5 mg;Bisoprolol a iné antihypertenzíva;;;
Concor Combi 5 mg/10 mg;Bisoprolol a iné antihypertenzíva;;;
Concor Combi 5 mg/5 mg;Bisoprolol a iné antihypertenzíva;;;
Concor COR 10 mg;Bisoprolol;;;
Concor COR 2,5 mg;Bisoprolol;;;
Concor COR 5 mg;Bisoprolol;;;
Concor COR 5 mg;Bisoprolol;;;
Conexxence 60 mg injekčný roztok v naplnenej injekčnej striekačke;Denosumab;;;
Contiroxil 10 mg tablety s predĺženým uvoľňovaním;Oxykodón;;;
Contiroxil 20 mg tablety s predĺženým uvoľňovaním;Oxykodón;;;
Contiroxil 40 mg tablety s predĺženým uvoľňovaním;Oxykodón;;;
Contiroxil 80 mg tablety s predĺženým uvoľňovaním;Oxykodón;;;
CONTROLOC 20 mg gastrorezistentné tablety;Pantoprazol;;;
CONTROLOC 20 mg gastrorezistentné tablety;Pantoprazol;;;
CONTROLOC 40 mg;Pantoprazol;;;
CONTROLOC 40 mg;Pantoprazol;;;
CONVERIDE 300 mg/12,5 mg;Irbesartan a diuretiká;;;
CONVERIDE 300 mg/25 mg;Irbesartan a diuretiká;;;
Convulex 300 mg/ml kvapky;Kyselina valproová;;;
Convulex 500 mg kapsuly;Kyselina valproová;;;
Convulex CR 500 mg;Kyselina valproová;;;
Copaxone 20 mg/ml;Glatirameracetát;;;
Copaxone 40 mg/ml;Glatirameracetát;;;
Corbilta 100 mg/25 mg/200 mg filmom obalené tablety;Levodopa, inhibítor dekarboxylázy a COMT inhibítor;;;
Corbilta 150 mg/37,5 mg/200 mg filmom obalené tablety;Levodopa, inhibítor dekarboxylázy a COMT inhibítor;;;
Corbilta 200 mg/50 mg/200 mg filmom obalené tablety;Levodopa, inhibítor dekarboxylázy a COMT inhibítor;;;
Corbilta 50 mg/12,5 mg/200 mg filmom obalené tablety;Levodopa, inhibítor dekarboxylázy a COMT inhibítor;;;
Cordarone 150 mg/3 ml;Amiodarón;;;
Cordarone 200 mg;Amiodarón;;;
Cornusan 10 mg/20 mg;Simvastatín a ezetimib;;;
Cornusan 10 mg/20 mg;Simvastatín a ezetimib;;;
Cornusan 10 mg/40 mg;Simvastatín a ezetimib;;;
Cornusan 10 mg/40 mg;Simvastatín a ezetimib;;;
Coronal 10;Bisoprolol;;;
Coronal 5;Bisoprolol;;;
Cortiment 9 mg;Budezonid;;;
Corvaton;Molsidomín;;;
Corvaton forte;Molsidomín;;;
Corvaton retard;Molsidomín;;;
Corvitol 50;Metoprolol;;;
Coryol  6,25;Karvedilol;;;
Coryol 12,5;Karvedilol;;;
Coryol 25;Karvedilol;;;
Coryol 25;Karvedilol;;;
Cosentyx 150 mg injekčný roztok v naplnenom pere;Sekukinumab;;;
Cosentyx 150 mg injekčný roztok v naplnenom pere;Sekukinumab;;;
COSOPT Multi Dose Free 20 mg/ml + 5 mg/ml očné roztokové kvapky;Timolol, kombinácie;;;
COSTI;Domperidón;;;
COSTI;Domperidón;;;
Cotellic 20 mg filmom obalené tablety;Kobimetinib;;;
CRESEMBA 100 mg tvrdé kapsuly;Isavukonazol;;;
CRYSVITA 10 mg injekčný roztok;Burosumab;;;
CRYSVITA 20 mg injekčný roztok;Burosumab;;;
CRYSVITA 30 mg injekčný roztok;Burosumab;;;
Curatoderm;Takalcitol;;;
Curatoderm 4 µg/g dermálna emulzia;Takalcitol;;;
Cuvitru 200 mg/ml;Normálne ľudské imunoglobulíny na extravenózne použitie;;;
Cuvitru 200 mg/ml;Normálne ľudské imunoglobulíny na extravenózne použitie;;;
Cuvitru 200 mg/ml;Normálne ľudské imunoglobulíny na extravenózne použitie;;;
Cyclolux 0,5 mmol/ml injekčný roztok;Kyselina gadoterová;;;
Cyclolux 0,5 mmol/ml injekčný roztok;Kyselina gadoterová;;;
Cyclolux 0,5 mmol/ml injekčný roztok;Kyselina gadoterová;;;
Cyclonamine 500 mg;Etamsylát;;;
Cystadrops, 3,8 mg/ml očná roztoková instilácia;Merkaptamín;;;
Dabahib 110 mg tvrdé kapsuly;Dabigatránetexilát;;;
Dabahib 150 mg tvrdé kapsuly;Dabigatránetexilát;;;
Dabigatran etexilate Accord 110 mg tvrdé kapsuly;Dabigatránetexilát;;;
Dabigatran etexilate Accord 110 mg tvrdé kapsuly;Dabigatránetexilát;;;
Dabigatran etexilate Accord 110 mg tvrdé kapsuly;Dabigatránetexilát;;;
Dabigatran etexilate Accord 150 mg tvrdé kapsuly;Dabigatránetexilát;;;
Dabigatran etexilate Accord 150 mg tvrdé kapsuly;Dabigatránetexilát;;;
Dabigatran etexilate Glenmark 110 mg tvrdé kapsuly;Dabigatránetexilát;;;
Dabigatran etexilate Glenmark 150 mg tvrdé kapsuly;Dabigatránetexilát;;;
Dabigatran-etexilát STADA Arzneimittel 110 mg tvrdé kapsuly;Dabigatránetexilát;;;
Dabigatran-etexilát STADA Arzneimittel 110 mg tvrdé kapsuly;Dabigatránetexilát;;;
Dabigatran-etexilát STADA Arzneimittel 150 mg tvrdé kapsuly;Dabigatránetexilát;;;
Dabigatran-etexilát STADA Arzneimittel 150 mg tvrdé kapsuly;Dabigatránetexilát;;;
Dacepton 10 mg/ml injekčný roztok v náhradnej náplni;Apomorfín;;;
Dacepton 10 mg/ml injekčný/infúzny roztok;Apomorfín;;;
Dailiport 0,5 mg;Takrolimus;;;
Dailiport 1 mg;Takrolimus;;;
Dailiport 3 mg;Takrolimus;;;
Dailiport 5 mg;Takrolimus;;;
DALACIN C 150 mg;Klindamycín;;;
DALACIN C 300 mg;Klindamycín;;;
DALACIN V 2 %;Klindamycín;;;
Daroxomb 110 mg;Dabigatránetexilát;;;
Daroxomb 110 mg;Dabigatránetexilát;;;
Daroxomb 110 mg;Dabigatránetexilát;;;
Daroxomb 150 mg;Dabigatránetexilát;;;
Daroxomb 150 mg;Dabigatránetexilát;;;
Darunavir Krka 800 mg filmom obalené tablety;Darunavir;;;
Darunavir Viatris 800 mg filmom obalené tablety;Darunavir;;;
Daruph 55 mg;Dazatinib;;;
Daruph 79 mg;Dazatinib;;;
DARZALEX 1 800 mg injekčný roztok;Daratumumab;;;
DARZALEX 20 mg/ml infúzny koncentrát;Daratumumab;;;
DARZALEX 20 mg/ml infúzny koncentrát;Daratumumab;;;
Dasatinib Krka 100 mg filmom obalené tablety;Dazatinib;;;
Dasatinib Krka 70 mg filmom obalené tablety;Dazatinib;;;
Dasatinib Sandoz 100 mg;Dazatinib;;;
Dasatinib Sandoz 70 mg;Dazatinib;;;
Dasatinib Teva 100 mg;Dazatinib;;;
Dasatinib Teva 70 mg;Dazatinib;;;
Dasatinib Zentiva 100 mg filmom obalené tablety;Dazatinib;;;
Dasatinib Zentiva 70 mg filmom obalené tablety;Dazatinib;;;
Daslodil 5 mg;Dezloratadín;;;
Daslodil 5 mg;Dezloratadín;;;
Daslodil 5 mg;Dezloratadín;;;
Dasselta 5 mg filmom obalená tableta;Dezloratadín;;;
Dasselta 5 mg filmom obalená tableta;Dezloratadín;;;
Dasselta 5 mg filmom obalená tableta;Dezloratadín;;;
DAUNOBLASTINA;Daunorubicín;;;
Daxanlo 110 mg tvrdé kapsuly;Dabigatránetexilát;;;
Daxanlo 110 mg tvrdé kapsuly;Dabigatránetexilát;;;
Daxanlo 150 mg tvrdé kapsuly;Dabigatránetexilát;;;
Daxanlo 150 mg tvrdé kapsuly;Dabigatránetexilát;;;
DECAPEPTYL 0,1 mg;Triptorelín;;;
Deferasirox Accord 360 mg filmom obalené tablety;Deferasirox;;;
Deferasirox Glenmark 360 mg filmom obalené tablety;Deferasirox;;;
Deferasirox Mylan 180 mg filmom obalené tablety;Deferasirox;;;
Deferasirox Mylan 360 mg filmom obalené tablety;Deferasirox;;;
Deferasirox Sandoz 180 mg;Deferasirox;;;
Deferasirox Sandoz 360 mg;Deferasirox;;;
Deferasirox STADA 180 mg filmom obalené tablety;Deferasirox;;;
Deferasirox STADA 360 mg filmom obalené tablety;Deferasirox;;;
Deferasirox Teva 360 mg filmom obalené tablety;Deferasirox;;;
Deferasirox Zentiva 360 mg;Deferasirox;;;
DENEREL;Ketotifén;;;
Depakine Chrono 500 mg;Kyselina valproová;;;
DEPO-MEDROL 40 mg/ml;Metylprednizolón;;;
Dereflin 20 mg tvrdé gastrorezistentné kapsuly;Ezomeprazol;;;
Dereflin 20 mg tvrdé gastrorezistentné kapsuly;Ezomeprazol;;;
Dereflin 40 mg tvrdé gastrorezistentné kapsuly;Ezomeprazol;;;
Dereflin 40 mg tvrdé gastrorezistentné kapsuly;Ezomeprazol;;;
Derin 100 mg filmom obalené tablety;Kvetiapín;;;
Derin 200 mg filmom obalené tablety;Kvetiapín;;;
Derin 25 mg filmom obalené tablety;Kvetiapín;;;
Derin 300 mg filmom obalené tablety;Kvetiapín;;;
Derin Prolong 200 mg;Kvetiapín;;;
Derin Prolong 300 mg;Kvetiapín;;;
Desloratadin Zentiva 5 mg filmom obalené tablety;Dezloratadín;;;
Desloratadin Zentiva 5 mg filmom obalené tablety;Dezloratadín;;;
Desloratadin Zentiva 5 mg filmom obalené tablety;Dezloratadín;;;
Desloratadine Actavis 5 mg filmom obalené tablety;Dezloratadín;;;
Desloratadine Actavis 5 mg filmom obalené tablety;Dezloratadín;;;
Desloratadine Actavis 5 mg filmom obalené tablety;Dezloratadín;;;
Desurol 30 mg tvrdé kapsuly s predĺženým uvoľňovaním;Urapidil;;;
Desurol 30 mg tvrdé kapsuly s predĺženým uvoľňovaním;Urapidil;;;
Desurol 60 mg tvrdé kapsuly s predĺženým uvoľňovaním;Urapidil;;;
Desurol 60 mg tvrdé kapsuly s predĺženým uvoľňovaním;Urapidil;;;
Dexa-Gentamicin;Dexametazón a antiinfektíva;;;
Dexa-Gentamicin;Dexametazón a antiinfektíva;;;
Dexadol 25 mg gro por;Dexketoprofén;;;
Dexadol 25 mg gro por;Dexketoprofén;;;
DEXAMED;Dexametazón;;;
Dexametazón Krka 20 mg tablety;Dexametazón;;;
Dexametazón Krka 4 mg tablety;Dexametazón;;;
Dexamethasone Noridem 4 mg/ml injekčný roztok;Dexametazón;;;
Dexamethasone Noridem 4 mg/ml injekčný roztok;Dexametazón;;;
Dezmopresín Stada 120 mikrogramov sublingválne tablety;Dezmopresín;;;
Dezmopresín Stada 240 mikrogramov sublingválne tablety;Dezmopresín;;;
Dezmopresín Stada 60 mikrogramov sublingválne tablety;Dezmopresín;;;
DHC Continus 120 mg;Dihydrokodeín;;;
DHC Continus 60 mg;Dihydrokodeín;;;
DHC Continus 90 mg;Dihydrokodeín;;;
DIACORDIN 120 RETARD;Diltiazem;;;
DIACORDIN 90 RETARD;Diltiazem;;;
DIAPREL MR 60 mg;Gliklazid;;;
DIAPREL MR 60 mg;Gliklazid;;;
Diazepam Desitin rectal tube 10 mg;Diazepam;;;
Diazepam Desitin rectal tube 5 mg;Diazepam;;;
DICARTIL 10 mg/10 mg filmom obalené tablety;Atorvastatín a amlodipín;;;
DICARTIL 5 mg/10 mg filmom obalené tablety;Atorvastatín a amlodipín;;;
dicetel 100 mg;Pinavérium;;;
Diclac retard;Diklofenak;;;
Diclofenac Duo Bausch Health 75 mg;Diklofenak;;;
Diclofenac Duo Bausch Health 75 mg;Diklofenak;;;
Diclovit;Diklofenak, kombinácie;;;
DICYNONE 250;Etamsylát;;;
DICYNONE 500 kapsuly;Etamsylát;;;
Differine krém;Adapalén;;;
DIFLUCAN 150 mg;Flukonazol;;;
DIFLUCAN P.O.S. 10 mg/ml;Flukonazol;;;
DIFLUCAN P.O.S. 40 mg/ml;Flukonazol;;;
Digoxin 0,125 Léčiva;Digoxín;;;
Digoxin 0,250 Léčiva;Digoxín;;;
Diluran;Acetazolamid;;;
Dimethyl Fumarate Gedeon Richter 120 mg tvrdé gastrorezistentné kapsuly;Dimetyl-fumarát;;;
Dimethyl Fumarate Gedeon Richter 240 mg tvrdé gastrorezistentné kapsuly;Dimetyl-fumarát;;;
Dimethyl fumarate Glenmark 120 mg;Dimetyl-fumarát;;;
Dimethyl fumarate Glenmark 240 mg;Dimetyl-fumarát;;;
Dimethyl fumarate Mylan 120 mg tvrdé gastrorezistentné kapsuly;Dimetyl-fumarát;;;
Dimethyl fumarate Mylan 240 mg tvrdé gastrorezistentné kapsuly;Dimetyl-fumarát;;;
Dimethyl fumarate Teva Slovakia 120 mg tvrdé gastrorezistentné kapsuly;Dimetyl-fumarát;;;
Dimethyl fumarate Teva Slovakia 240 mg tvrdé gastrorezistentné kapsuly;Dimetyl-fumarát;;;
Dimetyl-fumarát G.L. Pharma 120 mg tvrdé gastrorezistentné kapsuly;Dimetyl-fumarát;;;
Dimetyl-fumarát G.L. Pharma 240 mg tvrdé gastrorezistentné kapsuly;Dimetyl-fumarát;;;
Dimtruzic 120 mg;Dimetyl-fumarát;;;
Dimtruzic 240 mg;Dimetyl-fumarát;;;
DIOMPRAZ 75 mg/20 mg tvrdé kapsuly s riadeným uvoľňovaním;Diklofenak, kombinácie;;;
Diphereline 0,1 mg;Triptorelín;;;
Diphereline S.R. 11,25 mg;Triptorelín;;;
Diphereline S.R. 3,75 mg;Triptorelín;;;
Dipperam HCT 10 mg/160 mg/12,5 mg filmom obalené tablety;Amlodipínium-bezylát, valsartan, hydrochlórtiazid;;;
Dipperam HCT 10 mg/160 mg/25 mg filmom obalené tablety;Amlodipínium-bezylát, valsartan, hydrochlórtiazid;;;
Dipperam HCT 5 mg/160 mg/12,5 mg filmom obalené tablety;Amlodipínium-bezylát, valsartan, hydrochlórtiazid;;;
Dipperam HCT 5 mg/160 mg/25 mg filmom obalené tablety;Amlodipínium-bezylát, valsartan, hydrochlórtiazid;;;
DIRONORM tablety;Lizinopril a amlodipín;;;
DIROTON 10 mg;Lizinopril;;;
DIROTON 20 mg;Lizinopril;;;
DIROTON 5 mg;Lizinopril;;;
Diroton plus H 10 mg/12,5 mg tablety;Lizinopril a diuretiká;;;
Diroton plus H 20 mg /12,5 mg tablety;Lizinopril a diuretiká;;;
DISULONE 100 au protoxalate de fer;Dapsón;;;
Dithiaden;Ostatné antihistaminiká na systémové použitie;;;
DITHIADEN;Ostatné antihistaminiká na systémové použitie;;;
Dithiaden inj;Iné antihistaminiká na systémové použitie;;;
Docetaxel Accord 20 mg/1 ml infúzny koncentrát;Docetaxel;;;
Docetaxel Accord 80 mg/4 ml infúzny koncentrát;Docetaxel;;;
DOCETAXEL KABI 20 mg/1 ml infúzny koncentrát;Docetaxel;;;
DOCETAXEL KABI 80 mg/4 ml infúzny koncentrát;Docetaxel;;;
Docetaxel Sandoz 10 mg/ ml infúzny koncentrát;Docetaxel;;;
Docetaxel Sandoz 10 mg/ ml koncentrát na infúzny roztok;Docetaxel;;;
DOLTEN 50 mg filmom obalené tablety;Tapentadol;;;
DOLTEN RETARD 100 mg tablety s predĺženým uvoľňovaním;Tapentadol;;;
DOLTEN RETARD 150 mg tablety s predĺženým uvoľňovaním;Tapentadol;;;
DOLTEN RETARD 50 mg tablety s predĺženým uvoľňovaním;Tapentadol;;;
Donepezil Accord 10 mg filmom obalené tablety;Donepezil;;;
Donepezil Accord 5 mg filmom obalené tablety;Donepezil;;;
Donepezil Viatris 10 mg orodispergovateľné tablety;Donepezil;;;
Donepezil Viatris 5 mg orodispergovateľné tablety;Donepezil;;;
Donesyn 10 mg;Donepezil;;;
Donesyn 10 mg;Donepezil;;;
Donesyn 5 mg;Donepezil;;;
Donesyn 5 mg;Donepezil;;;
Dopegyt;Metyldopa (ľavotočivá);;;
Doptelet 20 mg filmom obalené tablety;Avatrombopag;;;
Doptelet 20 mg filmom obalené tablety;Avatrombopag;;;
Doptelet 20 mg filmom obalené tablety;Avatrombopag;;;
Doreta 37,5 mg/325 mg dispergovateľné tablety;Tramadol a paracetamol;;;
Doreta 37,5 mg/325 mg dispergovateľné tablety;Tramadol a paracetamol;;;
Doreta 37,5 mg/325 mg filmom obalené tablety;Tramadol a paracetamol;;;
Doreta 37,5 mg/325 mg filmom obalené tablety;Tramadol a paracetamol;;;
Doreta 37,5 mg/325 mg filmom obalené tablety;Tramadol a paracetamol;;;
Doreta 75 mg/650 mg filmom obalené tablety;Tramadol a paracetamol;;;
Doreta 75 mg/650 mg filmom obalené tablety;Tramadol a paracetamol;;;
Doreta SR 75 mg/650 mg tablety s predĺženým uvoľňovaním;Tramadol a paracetamol;;;
Dorzolamid Olikla 20 mg/ml očné roztokové kvapky;Dorzolamid;;;
Dorzolamid Olikla 20 mg/ml očné roztokové kvapky;Dorzolamid;;;
Dorzolamid/timolol Olikla 20 mg/ml + 5 mg/ml očné roztokové kvapky;Timolol, kombinácie;;;
Dorzolamid/timolol Olikla 20 mg/ml + 5 mg/ml očné roztokové kvapky;Timolol, kombinácie;;;
DOTAREM 0,5 mmol/ml injekčný roztok v injekčných liekovkách;Kyselina gadoterová;;;
DOTAREM 0,5 mmol/ml injekčný roztok v injekčných liekovkách;Kyselina gadoterová;;;
DOTAREM 0,5 mmol/ml injekčný roztok v injekčných liekovkách;Kyselina gadoterová;;;
Dovato 50 mg/300 mg filmom obalené tablety;Lamivudín a dolutegravir;;;
Dovequa 15 mg;Rivaroxabán;;;
Dovequa 20 mg;Rivaroxabán;;;
Doxorubicin Sandoz 2 mg/ml;Doxorubicín;;;
Doxorubicin Sandoz 2 mg/ml;Doxorubicín;;;
Doxyhexal 200 Tabs;Doxycyklín;;;
Doxyhexal 200 Tabs;Doxycyklín;;;
Doxyhexal Tabs;Doxycyklín;;;
Duac Gel;Klindamycín, kombinácie;;;
Duac Gel;Klindamycín, kombinácie;;;
Duaklir Genuair 340 mikrogramov/12 mikrogramov inhalačný prášok;Formoterol a aklidínium;;;
Duloxetin Sandoz 30 mg;Duloxetín;;;
Duloxetin Sandoz 60 mg;Duloxetín;;;
Duloxetin Stada 60 mg tvrdé gastrorezistentné kapsuly;Duloxetín;;;
Duloxetin Stada 60 mg tvrdé gastrorezistentné kapsuly;Duloxetín;;;
Dulsevia 30 mg tvrdé gastrorezistentné kapsuly;Duloxetín;;;
Dulsevia 60 mg tvrdé gastrorezistentné kapsuly;Duloxetín;;;
Dulsevia 60 mg tvrdé gastrorezistentné kapsuly;Duloxetín;;;
Duodopa intestinálny gél;Levodopa a inhibítory dekarboxylázy;;;
Duodopa SC 240 mg/ml + 12 mg/ml infúzny roztok;Foslevodopa a inhibítor dekarboxylázy;;;
DuoTrav 40 mikrogramov/ml + 5 mg/ml očná roztoková instilácia;Timolol, kombinácie;;;
DuoTrav 40 mikrogramov/ml + 5 mg/ml očná roztoková instilácia;Timolol, kombinácie;;;
DuoTrav 40 mikrogramov/ml + 5 mg/ml očná roztoková instilácia;Timolol, kombinácie;;;
Duoxona 10 mg/5 mg tablety s predĺženým uvoľňovaním;Oxykodón a naloxón;;;
Duoxona 20 mg/10 mg tablety s predĺženým uvoľňovaním;Oxykodón a naloxón;;;
Duoxona 40 mg/20 mg tablety s predĺženým uvoľňovaním;Oxykodón a naloxón;;;
DUPHALAC;Laktulóza;;;
Dupixent 200 mg injekčný roztok naplnený v injekčnej striekačke;Dupilumab;;;
Dupixent 200 mg injekčný roztok naplnený v injekčnom pere;Dupilumab;;;
Dupixent 300 mg injekčný roztok naplnený v injekčnej striekačke;Dupilumab;;;
Dupixent 300 mg injekčný roztok naplnený v injekčnom pere;Dupilumab;;;
duspatalin 200;Mebeverín;;;
Dutalan 0,5 mg mäkké kapsuly;Dutasterid;;;
DUTAMED 0,5 mg;Dutasterid;;;
Dutamon;Dutasterid;;;
Dutasterid/Tamsulozín FMK;Tamsulozín a dutasterid;;;
Dutasteride/Tamsulosin Glenmark 0,5 mg/0,4 mg;Tamsulozín a dutasterid;;;
Dutasteride/Tamsulosin Krka 0,5 mg/0,4 mg tvrdé kapsuly;Tamsulozín a dutasterid;;;
Dutasteride/Tamsulosin Olpha;Tamsulozín a dutasterid;;;
Dutrys 0,5 mg;Dutasterid;;;
Dymista nosová aerodisperzia;Flutikazón,kombinácie;;;
Dysport 500 U;Botulotoxín;;;
Ebixa 10 mg;Memantín;;;
Ebixa 20 mg;Memantín;;;
Ebrantil 30;Urapidil;;;
Ebrantil 60;Urapidil;;;
Ecansya 500 mg filmom obalené tablety;Kapecitabín;;;
Ecobec 100 µg;Beklometazón;;;
Ecobec 250 µg;Beklometazón;;;
Ecobec 250 µg Easi-Breathe;Beklometazón;;;
Ecugra 90 mg;Tikagrelor;;;
Edoxaban Olpha 30 mg filmom obalené tablety;Edoxabán;;;
Edoxaban Olpha 30 mg filmom obalené tablety;Edoxabán;;;
Edoxaban Olpha 60 mg filmom obalené tablety;Edoxabán;;;
Edoxaban Olpha 60 mg filmom obalené tablety;Edoxabán;;;
Edoxaban Sandoz 30 mg;Edoxabán;;;
Edoxaban Sandoz 30 mg;Edoxabán;;;
Edoxaban Sandoz 60 mg;Edoxabán;;;
Edoxaban Sandoz 60 mg;Edoxabán;;;
Edoxabán STADA 30 mg filmom obalené tablety;Edoxabán;;;
Edoxabán STADA 30 mg filmom obalené tablety;Edoxabán;;;
Edoxabán STADA 60 mg filmom obalené tablety;Edoxabán;;;
Edoxabán STADA 60 mg filmom obalené tablety;Edoxabán;;;
Edoxabán STADA 60 mg filmom obalené tablety;Edoxabán;;;
Edoxabán STADA 60 mg filmom obalené tablety;Edoxabán;;;
Edoxaban Viatris 30 mg;Edoxabán;;;
Edoxaban Viatris 30 mg;Edoxabán;;;
Edoxaban Viatris 60 mg;Edoxabán;;;
Edoxaban Viatris 60 mg;Edoxabán;;;
EDURANT 25 mg filmom obalené tablety;Rilpivirín;;;
Effentora 100 mikrogramov bukálne tablety;Fentanyl;;;
Effentora 200 mikrogramov bukálne tablety;Fentanyl;;;
EFFLUMIDEX Liquifilm;Fluórmetolón;;;
Efient 10 mg filmom obalené tablety;Prasugrel;;;
Efigalo 0,5 mg tvrdé kapsuly;Fingolimod;;;
EFUDIX;Fluóruracil;;;
Egilok 100 mg;Metoprolol;;;
Egilok 100 mg;Metoprolol;;;
Egilok 50 mg;Metoprolol;;;
Egiramlon 10 mg/10 mg;Ramipril a amlodipín;;;
Egiramlon 10 mg/10 mg;Ramipril a amlodipín;;;
Egiramlon 10 mg/5 mg;Ramipril a amlodipín;;;
Egiramlon 5 mg/5 mg;Ramipril a amlodipín;;;
Egistrozol;Anastrozol;;;
Egoropal 100 mg;Paliperidón;;;
Egoropal 150 mg;Paliperidón;;;
Egoropal 50 mg;Paliperidón;;;
Egoropal 75 mg;Paliperidón;;;
Elaprase 2 mg/ml infúzny koncentrát;Idursulfáza;;;
Eleveon 25 mg;Eplerenón;;;
Eleveon 25 mg;Eplerenón;;;
Eleveon 50 mg;Eplerenón;;;
Eleveon 50 mg;Eplerenón;;;
Elfabrio 2mg/ml koncentrát na infúzny roztok;Pegunigalzidáza alfa;;;
Elicea 10 mg;Escitalopram;;;
Elicea 10 mg;Escitalopram;;;
Elicea 10 mg;Escitalopram;;;
Elicea Q-Tab 10 mg orodispergovateľné tablety;Escitalopram;;;
Elidel 10 mg/g krém;Pimekrolimus;;;
Eligard 22,5 mg;Leuprorelín;;;
Eligard 45 mg;Leuprorelín;;;
Eligard 7,5 mg;Leuprorelín;;;
Eliquis 2,5 mg filmom obalené tablety;Apixabán;;;
Eliquis 2,5 mg filmom obalené tablety;Apixabán;;;
Eliquis 5 mg filmom obalené tablety;Apixabán;;;
Eliquis 5 mg filmom obalené tablety;Apixabán;;;
ELOCOM krém;Mometazón;;;
ELOCOM masť;Mometazón;;;
