Trichomoniasis of other sites,A59
"Trichomoniasis, unspecified",A59
"Herpesviral infection of urogenital system, unspecified",A60
Herpesviral infection of penis,A60
Herpesviral infection of other male genital organs,A60
Herpesviral cervicitis,A60
Herpesviral vulvovaginitis,A60
Herpesviral infection of other urogenital tract,A60
Herpesviral infection of perianal skin and rectum,A60
"Anogenital herpesviral infection, unspecified",A60
Anogenital (venereal) warts,A63
Other specified predominantly sexually transmitted diseases,A63
Unspecified sexually transmitted disease,A64
Nonvenereal syphilis,A65
Initial lesions of yaws,A66
Multiple papillomata and wet crab yaws,A66
Other early skin lesions of yaws,A66
Hyperkeratosis of yaws,A66
Gummata and ulcers of yaws,A66
Gangosa,A66
Bone and joint lesions of yaws,A66
Other manifestations of yaws,A66
Latent yaws,A66
"Yaws, unspecified",A66
Primary lesions of pinta,A67
Intermediate lesions of pinta,A67
Late lesions of pinta,A67
Mixed lesions of pinta,A67
"Pinta, unspecified",A67
Louse-borne relapsing fever,A68
Tick-borne relapsing fever,A68
"Relapsing fever, unspecified",A68
Necrotizing ulcerative stomatitis,A69
Other Vincent's infections,A69
"Lyme disease, unspecified",A69
Meningitis due to Lyme disease,A69
Other neurologic disorders in Lyme disease,A69
Arthritis due to Lyme disease,A69
Other conditions associated with Lyme disease,A69
Other specified spirochetal infections,A69
"Spirochetal infection, unspecified",A69
Chlamydia psittaci infections,A70
Initial stage of trachoma,A71
Active stage of trachoma,A71
"Trachoma, unspecified",A71
Chlamydial conjunctivitis,A74
Chlamydial peritonitis,A74
Other chlamydial diseases,A74
"Chlamydial infection, unspecified",A74
Epidemic louse-borne typhus fever due to Rickettsia prowazekii,A75
Recrudescent typhus [Brill's disease],A75
Typhus fever due to Rickettsia typhi,A75
Typhus fever due to Rickettsia tsutsugamushi,A75
"Typhus fever, unspecified",A75
Spotted fever due to Rickettsia rickettsii,A77
Spotted fever due to Rickettsia conorii,A77
Spotted fever due to Rickettsia siberica,A77
Spotted fever due to Rickettsia australis,A77
"Ehrlichiosis, unspecified",A77
Ehrlichiosis chafeensis [E. chafeensis],A77
Other ehrlichiosis,A77
Other spotted fevers,A77
"Spotted fever, unspecified",A77
Q fever,A78
Trench fever,A79
Rickettsialpox due to Rickettsia akari,A79
Rickettsiosis due to Ehrlichia sennetsu,A79
Other specified rickettsioses,A79
"Rickettsiosis, unspecified",A79
"Acute paralytic poliomyelitis, vaccine-associated",A80
"Acute paralytic poliomyelitis, wild virus, imported",A80
"Acute paralytic poliomyelitis, wild virus, indigenous",A80
